Vocab size: 8,192
Model config: {'sequence_len': 512, 'vocab_size': 8192, 'n_layer': 6, 'n_head': 3, 'n_kv_head': 3, 'n_embd': 384, 'window_pattern': 'L'}
Parameter counts:
  wte                     : 3,145,728
  value_embeds            : 9,437,184
  lm_head                 : 3,145,728
  transformer_matrices    : 10,617,120
  scalars                 : 12
  total                   : 26,345,772
Estimated FLOPs per token: 9.673286e+07
Scaling AdamW LRs by 1/sqrt(384/768) = 1.414214
Time budget: 300s
Gradient accumulation steps: 8

step 00000 (0.0%) | loss: 9.011256 | lrm: 1.00 | dt: 5818ms | tok/sec: 5,632 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 9.108601 | lrm: 1.00 | dt: 324ms | tok/sec: 101,144 | mfu: 1.0% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.996832 | lrm: 1.00 | dt: 326ms | tok/sec: 100,669 | mfu: 1.0% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.704878 | lrm: 1.00 | dt: 328ms | tok/sec: 99,959 | mfu: 1.0% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.410487 | lrm: 1.00 | dt: 326ms | tok/sec: 100,625 | mfu: 1.0% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 8.179275 | lrm: 1.00 | dt: 326ms | tok/sec: 100,397 | mfu: 1.0% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.983884 | lrm: 1.00 | dt: 327ms | tok/sec: 100,118 | mfu: 1.0% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 7.812600 | lrm: 1.00 | dt: 326ms | tok/sec: 100,411 | mfu: 1.0% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 7.658881 | lrm: 1.00 | dt: 326ms | tok/sec: 100,643 | mfu: 1.0% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 7.483823 | lrm: 1.00 | dt: 327ms | tok/sec: 100,262 | mfu: 1.0% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 7.360716 | lrm: 1.00 | dt: 326ms | tok/sec: 100,389 | mfu: 1.0% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 7.241413 | lrm: 1.00 | dt: 327ms | tok/sec: 100,324 | mfu: 1.0% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 7.114148 | lrm: 1.00 | dt: 351ms | tok/sec: 93,436 | mfu: 0.9% | epoch: 1 | remaining: 299s    
step 00013 (0.2%) | loss: 7.007884 | lrm: 1.00 | dt: 325ms | tok/sec: 100,722 | mfu: 1.0% | epoch: 1 | remaining: 299s    
step 00035 (2.6%) | loss: 5.924431 | lrm: 1.00 | dt: 327ms | tok/sec: 100,266 | mfu: 1.0% | epoch: 1 | remaining: 292s    
step 00036 (2.7%) | loss: 5.918450 | lrm: 1.00 | dt: 327ms | tok/sec: 100,086 | mfu: 1.0% | epoch: 1 | remaining: 291s    
step 00037 (2.8%) | loss: 5.895084 | lrm: 1.00 | dt: 327ms | tok/sec: 100,183 | mfu: 1.0% | epoch: 1 | remaining: 291s    
step 00038 (3.0%) | loss: 5.868326 | lrm: 1.00 | dt: 327ms | tok/sec: 100,245 | mfu: 1.0% | epoch: 1 | remaining: 291s    
step 00039 (3.1%) | loss: 5.836227 | lrm: 1.00 | dt: 327ms | tok/sec: 100,066 | mfu: 1.0% | epoch: 1 | remaining: 290s    
step 00040 (3.2%) | loss: 5.818939 | lrm: 1.00 | dt: 327ms | tok/sec: 100,091 | mfu: 1.0% | epoch: 1 | remaining: 290s    
step 00041 (3.3%) | loss: 5.780368 | lrm: 1.00 | dt: 327ms | tok/sec: 100,175 | mfu: 1.0% | epoch: 1 | remaining: 290s    
step 00042 (3.4%) | loss: 5.768996 | lrm: 1.00 | dt: 327ms | tok/sec: 100,084 | mfu: 1.0% | epoch: 1 | remaining: 290s    
step 00043 (3.5%) | loss: 5.756575 | lrm: 1.00 | dt: 327ms | tok/sec: 100,161 | mfu: 1.0% | epoch: 1 | remaining: 289s    
step 00044 (3.6%) | loss: 5.731348 | lrm: 1.00 | dt: 327ms | tok/sec: 100,196 | mfu: 1.0% | epoch: 1 | remaining: 289s    
step 00045 (3.7%) | loss: 5.711082 | lrm: 1.00 | dt: 327ms | tok/sec: 100,119 | mfu: 1.0% | epoch: 1 | remaining: 289s    
step 00046 (3.8%) | loss: 5.685502 | lrm: 1.00 | dt: 327ms | tok/sec: 100,256 | mfu: 1.0% | epoch: 1 | remaining: 288s    
step 00047 (3.9%) | loss: 5.673737 | lrm: 1.00 | dt: 327ms | tok/sec: 100,152 | mfu: 1.0% | epoch: 1 | remaining: 288s    
step 00048 (4.0%) | loss: 5.654788 | lrm: 1.00 | dt: 327ms | tok/sec: 100,107 | mfu: 1.0% | epoch: 1 | remaining: 288s    
step 00049 (4.2%) | loss: 5.632771 | lrm: 1.00 | dt: 327ms | tok/sec: 100,257 | mfu: 1.0% | epoch: 1 | remaining: 287s    
step 00050 (4.3%) | loss: 5.620689 | lrm: 1.00 | dt: 328ms | tok/sec: 100,047 | mfu: 1.0% | epoch: 1 | remaining: 287s    
step 00051 (4.4%) | loss: 5.605604 | lrm: 1.00 | dt: 328ms | tok/sec: 100,054 | mfu: 1.0% | epoch: 1 | remaining: 287s    
step 00052 (4.5%) | loss: 5.581653 | lrm: 1.00 | dt: 327ms | tok/sec: 100,174 | mfu: 1.0% | epoch: 1 | remaining: 286s    
step 00053 (4.6%) | loss: 5.563999 | lrm: 1.00 | dt: 328ms | tok/sec: 100,008 | mfu: 1.0% | epoch: 1 | remaining: 286s    
step 00054 (4.7%) | loss: 5.560268 | lrm: 1.00 | dt: 327ms | tok/sec: 100,106 | mfu: 1.0% | epoch: 1 | remaining: 286s    
step 00055 (4.8%) | loss: 5.541675 | lrm: 1.00 | dt: 327ms | tok/sec: 100,166 | mfu: 1.0% | epoch: 1 | remaining: 285s    
step 00056 (4.9%) | loss: 5.519650 | lrm: 1.00 | dt: 328ms | tok/sec: 100,021 | mfu: 1.0% | epoch: 1 | remaining: 285s    
step 00057 (5.0%) | loss: 5.498037 | lrm: 1.00 | dt: 327ms | tok/sec: 100,123 | mfu: 1.0% | epoch: 1 | remaining: 285s    
step 00058 (5.1%) | loss: 5.496040 | lrm: 1.00 | dt: 327ms | tok/sec: 100,165 | mfu: 1.0% | epoch: 1 | remaining: 284s    
step 00059 (5.2%) | loss: 5.476807 | lrm: 1.00 | dt: 327ms | tok/sec: 100,140 | mfu: 1.0% | epoch: 1 | remaining: 284s    
step 00060 (5.4%) | loss: 5.475659 | lrm: 1.00 | dt: 327ms | tok/sec: 100,063 | mfu: 1.0% | epoch: 1 | remaining: 284s    
step 00061 (5.5%) | loss: 5.481902 | lrm: 1.00 | dt: 327ms | tok/sec: 100,118 | mfu: 1.0% | epoch: 1 | remaining: 283s    
step 00062 (5.6%) | loss: 5.465939 | lrm: 1.00 | dt: 327ms | tok/sec: 100,154 | mfu: 1.0% | epoch: 1 | remaining: 283s    
step 00063 (5.7%) | loss: 5.439359 | lrm: 1.00 | dt: 328ms | tok/sec: 100,011 | mfu: 1.0% | epoch: 1 | remaining: 283s    
step 00064 (5.8%) | loss: 5.435056 | lrm: 1.00 | dt: 327ms | tok/sec: 100,076 | mfu: 1.0% | epoch: 1 | remaining: 282s    
step 00065 (5.9%) | loss: 5.422746 | lrm: 1.00 | dt: 327ms | tok/sec: 100,131 | mfu: 1.0% | epoch: 1 | remaining: 282s    
step 00066 (6.0%) | loss: 5.419021 | lrm: 1.00 | dt: 328ms | tok/sec: 100,026 | mfu: 1.0% | epoch: 1 | remaining: 282s    
step 00067 (6.1%) | loss: 5.414677 | lrm: 1.00 | dt: 327ms | tok/sec: 100,063 | mfu: 1.0% | epoch: 1 | remaining: 281s    
step 00068 (6.2%) | loss: 5.424239 | lrm: 1.00 | dt: 328ms | tok/sec: 100,033 | mfu: 1.0% | epoch: 1 | remaining: 281s    
step 00069 (6.3%) | loss: 5.424282 | lrm: 1.00 | dt: 327ms | tok/sec: 100,076 | mfu: 1.0% | epoch: 1 | remaining: 281s    
step 00070 (6.4%) | loss: 5.421549 | lrm: 1.00 | dt: 327ms | tok/sec: 100,138 | mfu: 1.0% | epoch: 1 | remaining: 280s    
step 00071 (6.6%) | loss: 5.395214 | lrm: 1.00 | dt: 327ms | tok/sec: 100,073 | mfu: 1.0% | epoch: 1 | remaining: 280s    
step 00072 (6.7%) | loss: 5.401982 | lrm: 1.00 | dt: 328ms | tok/sec: 100,047 | mfu: 1.0% | epoch: 1 | remaining: 280s    
step 00073 (6.8%) | loss: 5.375912 | lrm: 1.00 | dt: 327ms | tok/sec: 100,176 | mfu: 1.0% | epoch: 1 | remaining: 279s    
step 00074 (6.9%) | loss: 5.336299 | lrm: 1.00 | dt: 327ms | tok/sec: 100,086 | mfu: 1.0% | epoch: 1 | remaining: 279s    
step 00075 (7.0%) | loss: 5.325539 | lrm: 1.00 | dt: 327ms | tok/sec: 100,189 | mfu: 1.0% | epoch: 1 | remaining: 279s    
step 00076 (7.1%) | loss: 5.309505 | lrm: 1.00 | dt: 327ms | tok/sec: 100,111 | mfu: 1.0% | epoch: 1 | remaining: 278s    
step 00077 (7.2%) | loss: 5.309490 | lrm: 1.00 | dt: 327ms | tok/sec: 100,117 | mfu: 1.0% | epoch: 1 | remaining: 278s    
step 00078 (7.3%) | loss: 5.294111 | lrm: 1.00 | dt: 327ms | tok/sec: 100,106 | mfu: 1.0% | epoch: 1 | remaining: 278s    
step 00079 (7.4%) | loss: 5.277479 | lrm: 1.00 | dt: 327ms | tok/sec: 100,151 | mfu: 1.0% | epoch: 1 | remaining: 277s    
step 00080 (7.5%) | loss: 5.267371 | lrm: 1.00 | dt: 327ms | tok/sec: 100,149 | mfu: 1.0% | epoch: 1 | remaining: 277s    
step 00081 (7.6%) | loss: 5.234166 | lrm: 1.00 | dt: 327ms | tok/sec: 100,150 | mfu: 1.0% | epoch: 1 | remaining: 277s    
step 00082 (7.8%) | loss: 5.207042 | lrm: 1.00 | dt: 327ms | tok/sec: 100,173 | mfu: 1.0% | epoch: 1 | remaining: 276s    
step 00083 (7.9%) | loss: 5.212689 | lrm: 1.00 | dt: 327ms | tok/sec: 100,133 | mfu: 1.0% | epoch: 1 | remaining: 276s    
step 00084 (8.0%) | loss: 5.180258 | lrm: 1.00 | dt: 327ms | tok/sec: 100,167 | mfu: 1.0% | epoch: 1 | remaining: 276s    
step 00085 (8.1%) | loss: 5.177114 | lrm: 1.00 | dt: 327ms | tok/sec: 100,177 | mfu: 1.0% | epoch: 1 | remaining: 275s    
step 00086 (8.2%) | loss: 5.180314 | lrm: 1.00 | dt: 327ms | tok/sec: 100,231 | mfu: 1.0% | epoch: 1 | remaining: 275s    
step 00087 (8.3%) | loss: 5.174416 | lrm: 1.00 | dt: 327ms | tok/sec: 100,125 | mfu: 1.0% | epoch: 1 | remaining: 275s    
step 00088 (8.4%) | loss: 5.161518 | lrm: 1.00 | dt: 327ms | tok/sec: 100,126 | mfu: 1.0% | epoch: 1 | remaining: 274s    
step 00089 (8.5%) | loss: 5.160096 | lrm: 1.00 | dt: 327ms | tok/sec: 100,206 | mfu: 1.0% | epoch: 1 | remaining: 274s    
step 00090 (8.6%) | loss: 5.144012 | lrm: 1.00 | dt: 327ms | tok/sec: 100,256 | mfu: 1.0% | epoch: 1 | remaining: 274s    
step 00091 (8.7%) | loss: 5.123653 | lrm: 1.00 | dt: 327ms | tok/sec: 100,155 | mfu: 1.0% | epoch: 1 | remaining: 273s    
step 00092 (8.8%) | loss: 5.128981 | lrm: 1.00 | dt: 327ms | tok/sec: 100,173 | mfu: 1.0% | epoch: 1 | remaining: 273s    
step 00093 (9.0%) | loss: 5.117178 | lrm: 1.00 | dt: 327ms | tok/sec: 100,180 | mfu: 1.0% | epoch: 1 | remaining: 273s    
step 00094 (9.1%) | loss: 5.094370 | lrm: 1.00 | dt: 327ms | tok/sec: 100,202 | mfu: 1.0% | epoch: 1 | remaining: 272s    
step 00095 (9.2%) | loss: 5.082205 | lrm: 1.00 | dt: 327ms | tok/sec: 100,131 | mfu: 1.0% | epoch: 1 | remaining: 272s    
step 00096 (9.3%) | loss: 5.054794 | lrm: 1.00 | dt: 327ms | tok/sec: 100,101 | mfu: 1.0% | epoch: 1 | remaining: 272s    
step 00097 (9.4%) | loss: 5.061828 | lrm: 1.00 | dt: 327ms | tok/sec: 100,197 | mfu: 1.0% | epoch: 1 | remaining: 272s    
step 00098 (9.5%) | loss: 5.067447 | lrm: 1.00 | dt: 327ms | tok/sec: 100,083 | mfu: 1.0% | epoch: 1 | remaining: 271s    
step 00099 (9.6%) | loss: 5.059727 | lrm: 1.00 | dt: 327ms | tok/sec: 100,179 | mfu: 1.0% | epoch: 1 | remaining: 271s    
step 00100 (9.7%) | loss: 5.031205 | lrm: 1.00 | dt: 327ms | tok/sec: 100,164 | mfu: 1.0% | epoch: 1 | remaining: 271s    
step 00101 (9.8%) | loss: 5.021255 | lrm: 1.00 | dt: 327ms | tok/sec: 100,121 | mfu: 1.0% | epoch: 1 | remaining: 270s    
step 00102 (9.9%) | loss: 5.000968 | lrm: 1.00 | dt: 327ms | tok/sec: 100,209 | mfu: 1.0% | epoch: 1 | remaining: 270s    
step 00103 (10.0%) | loss: 4.978128 | lrm: 1.00 | dt: 327ms | tok/sec: 100,140 | mfu: 1.0% | epoch: 1 | remaining: 270s    
step 00104 (10.2%) | loss: 4.969194 | lrm: 1.00 | dt: 327ms | tok/sec: 100,110 | mfu: 1.0% | epoch: 1 | remaining: 269s    
step 00105 (10.3%) | loss: 4.972219 | lrm: 1.00 | dt: 327ms | tok/sec: 100,222 | mfu: 1.0% | epoch: 1 | remaining: 269s    
step 00106 (10.4%) | loss: 4.945333 | lrm: 1.00 | dt: 327ms | tok/sec: 100,166 | mfu: 1.0% | epoch: 1 | remaining: 269s    
step 00107 (10.5%) | loss: 4.932372 | lrm: 1.00 | dt: 327ms | tok/sec: 100,115 | mfu: 1.0% | epoch: 1 | remaining: 268s    
step 00108 (10.6%) | loss: 4.908817 | lrm: 1.00 | dt: 327ms | tok/sec: 100,197 | mfu: 1.0% | epoch: 1 | remaining: 268s    
step 00109 (10.7%) | loss: 4.895597 | lrm: 1.00 | dt: 327ms | tok/sec: 100,183 | mfu: 1.0% | epoch: 1 | remaining: 268s    
step 00110 (10.8%) | loss: 4.902107 | lrm: 1.00 | dt: 327ms | tok/sec: 100,100 | mfu: 1.0% | epoch: 1 | remaining: 267s    
step 00111 (10.9%) | loss: 4.892908 | lrm: 1.00 | dt: 327ms | tok/sec: 100,221 | mfu: 1.0% | epoch: 1 | remaining: 267s    
step 00112 (11.0%) | loss: 4.897107 | lrm: 1.00 | dt: 327ms | tok/sec: 100,120 | mfu: 1.0% | epoch: 1 | remaining: 267s    
step 00113 (11.1%) | loss: 4.888397 | lrm: 1.00 | dt: 327ms | tok/sec: 100,159 | mfu: 1.0% | epoch: 1 | remaining: 266s    
step 00114 (11.2%) | loss: 4.888334 | lrm: 1.00 | dt: 327ms | tok/sec: 100,169 | mfu: 1.0% | epoch: 1 | remaining: 266s    
step 00115 (11.4%) | loss: 4.895316 | lrm: 1.00 | dt: 327ms | tok/sec: 100,106 | mfu: 1.0% | epoch: 1 | remaining: 266s    
step 00116 (11.5%) | loss: 4.883678 | lrm: 1.00 | dt: 327ms | tok/sec: 100,093 | mfu: 1.0% | epoch: 1 | remaining: 265s    
step 00117 (11.6%) | loss: 4.849736 | lrm: 1.00 | dt: 327ms | tok/sec: 100,207 | mfu: 1.0% | epoch: 1 | remaining: 265s    
step 00118 (11.7%) | loss: 4.863936 | lrm: 1.00 | dt: 327ms | tok/sec: 100,176 | mfu: 1.0% | epoch: 1 | remaining: 265s    
step 00119 (11.8%) | loss: 4.862278 | lrm: 1.00 | dt: 327ms | tok/sec: 100,147 | mfu: 1.0% | epoch: 1 | remaining: 264s    
step 00120 (11.9%) | loss: 4.854699 | lrm: 1.00 | dt: 327ms | tok/sec: 100,234 | mfu: 1.0% | epoch: 1 | remaining: 264s    
step 00121 (12.0%) | loss: 4.856251 | lrm: 1.00 | dt: 327ms | tok/sec: 100,202 | mfu: 1.0% | epoch: 1 | remaining: 264s    
step 00122 (12.1%) | loss: 4.854998 | lrm: 1.00 | dt: 327ms | tok/sec: 100,135 | mfu: 1.0% | epoch: 1 | remaining: 263s    
step 00123 (12.2%) | loss: 4.845090 | lrm: 1.00 | dt: 327ms | tok/sec: 100,169 | mfu: 1.0% | epoch: 1 | remaining: 263s    
step 00124 (12.3%) | loss: 4.846739 | lrm: 1.00 | dt: 327ms | tok/sec: 100,208 | mfu: 1.0% | epoch: 1 | remaining: 263s    
step 00125 (12.4%) | loss: 4.842858 | lrm: 1.00 | dt: 327ms | tok/sec: 100,161 | mfu: 1.0% | epoch: 1 | remaining: 262s    
step 00126 (12.6%) | loss: 4.818600 | lrm: 1.00 | dt: 327ms | tok/sec: 100,149 | mfu: 1.0% | epoch: 1 | remaining: 262s    
step 00127 (12.7%) | loss: 4.801450 | lrm: 1.00 | dt: 327ms | tok/sec: 100,272 | mfu: 1.0% | epoch: 1 | remaining: 262s    
step 00128 (12.8%) | loss: 4.775963 | lrm: 1.00 | dt: 327ms | tok/sec: 100,168 | mfu: 1.0% | epoch: 1 | remaining: 261s    
step 00129 (12.9%) | loss: 4.788428 | lrm: 1.00 | dt: 327ms | tok/sec: 100,159 | mfu: 1.0% | epoch: 1 | remaining: 261s    
step 00130 (13.0%) | loss: 4.785200 | lrm: 1.00 | dt: 327ms | tok/sec: 100,200 | mfu: 1.0% | epoch: 1 | remaining: 261s    
step 00131 (13.1%) | loss: 4.788084 | lrm: 1.00 | dt: 327ms | tok/sec: 100,193 | mfu: 1.0% | epoch: 1 | remaining: 260s    
step 00132 (13.2%) | loss: 4.766256 | lrm: 1.00 | dt: 327ms | tok/sec: 100,225 | mfu: 1.0% | epoch: 1 | remaining: 260s    
step 00133 (13.3%) | loss: 4.743151 | lrm: 1.00 | dt: 327ms | tok/sec: 100,213 | mfu: 1.0% | epoch: 1 | remaining: 260s    
step 00134 (13.4%) | loss: 4.744487 | lrm: 1.00 | dt: 327ms | tok/sec: 100,122 | mfu: 1.0% | epoch: 1 | remaining: 259s    
step 00135 (13.5%) | loss: 4.739253 | lrm: 1.00 | dt: 327ms | tok/sec: 100,183 | mfu: 1.0% | epoch: 1 | remaining: 259s    
step 00136 (13.6%) | loss: 4.761203 | lrm: 1.00 | dt: 327ms | tok/sec: 100,188 | mfu: 1.0% | epoch: 1 | remaining: 259s    
step 00137 (13.8%) | loss: 4.765004 | lrm: 1.00 | dt: 328ms | tok/sec: 100,027 | mfu: 1.0% | epoch: 1 | remaining: 258s    
step 00138 (13.9%) | loss: 4.761850 | lrm: 1.00 | dt: 327ms | tok/sec: 100,286 | mfu: 1.0% | epoch: 1 | remaining: 258s    
step 00139 (14.0%) | loss: 4.765497 | lrm: 1.00 | dt: 327ms | tok/sec: 100,225 | mfu: 1.0% | epoch: 1 | remaining: 258s    
step 00140 (14.1%) | loss: 4.756954 | lrm: 1.00 | dt: 328ms | tok/sec: 100,045 | mfu: 1.0% | epoch: 1 | remaining: 257s    
step 00141 (14.2%) | loss: 4.739837 | lrm: 1.00 | dt: 327ms | tok/sec: 100,237 | mfu: 1.0% | epoch: 1 | remaining: 257s    
step 00142 (14.3%) | loss: 4.729420 | lrm: 1.00 | dt: 327ms | tok/sec: 100,282 | mfu: 1.0% | epoch: 1 | remaining: 257s    
step 00143 (14.4%) | loss: 4.717771 | lrm: 1.00 | dt: 327ms | tok/sec: 100,078 | mfu: 1.0% | epoch: 1 | remaining: 256s    
step 00144 (14.5%) | loss: 4.700980 | lrm: 1.00 | dt: 327ms | tok/sec: 100,230 | mfu: 1.0% | epoch: 1 | remaining: 256s    
step 00145 (14.6%) | loss: 4.709194 | lrm: 1.00 | dt: 327ms | tok/sec: 100,269 | mfu: 1.0% | epoch: 1 | remaining: 256s    
step 00146 (14.7%) | loss: 4.710157 | lrm: 1.00 | dt: 327ms | tok/sec: 100,237 | mfu: 1.0% | epoch: 1 | remaining: 255s    
step 00147 (14.8%) | loss: 4.693885 | lrm: 1.00 | dt: 327ms | tok/sec: 100,278 | mfu: 1.0% | epoch: 1 | remaining: 255s    
step 00148 (14.9%) | loss: 4.679186 | lrm: 1.00 | dt: 327ms | tok/sec: 100,335 | mfu: 1.0% | epoch: 1 | remaining: 255s    
step 00149 (15.1%) | loss: 4.671017 | lrm: 1.00 | dt: 327ms | tok/sec: 100,168 | mfu: 1.0% | epoch: 1 | remaining: 254s    
step 00150 (15.2%) | loss: 4.676326 | lrm: 1.00 | dt: 327ms | tok/sec: 100,244 | mfu: 1.0% | epoch: 1 | remaining: 254s    
step 00151 (15.3%) | loss: 4.672837 | lrm: 1.00 | dt: 327ms | tok/sec: 100,205 | mfu: 1.0% | epoch: 1 | remaining: 254s    
step 00152 (15.4%) | loss: 4.680585 | lrm: 1.00 | dt: 327ms | tok/sec: 100,205 | mfu: 1.0% | epoch: 1 | remaining: 254s    
step 00153 (15.5%) | loss: 4.686648 | lrm: 1.00 | dt: 327ms | tok/sec: 100,212 | mfu: 1.0% | epoch: 1 | remaining: 253s    
step 00154 (15.6%) | loss: 4.655733 | lrm: 1.00 | dt: 327ms | tok/sec: 100,254 | mfu: 1.0% | epoch: 1 | remaining: 253s    
step 00155 (15.7%) | loss: 4.653686 | lrm: 1.00 | dt: 327ms | tok/sec: 100,220 | mfu: 1.0% | epoch: 1 | remaining: 253s    
step 00156 (15.8%) | loss: 4.651874 | lrm: 1.00 | dt: 327ms | tok/sec: 100,058 | mfu: 1.0% | epoch: 1 | remaining: 252s    
